branch_trigger_threshold,branch_budget,num_cases,candidate_pool_recall_count,candidate_pool_recall,num_correct,accuracy,mean_selected_requests,mean_total_replayed_requests,median_total_replayed_requests,p90_total_replayed_requests,p95_total_replayed_requests,max_total_replayed_requests,triggered_case_count_by_probability,branch_cases_with_saved_rows,branch_rows_replayed,extra_roots_total,overrides_applied,candidate_pool_misses,misses
0.000211,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,41,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000293,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,40,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000356,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,40,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000426,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,38,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000459,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,37,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000493,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,37,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000535,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,35,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000659,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,35,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000661,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,34,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
0.000678,2,49,49,1.0,48,0.9795918367346939,7.163265306122449,10.306122448979592,5.0,22.200000000000003,47.799999999999955,61.0,33,6,12,12,1,,test:111176:Acute rhinosinusitis->Chronic rhinosinusitis
