policy_name,scope,num_decisions,num_correct,accuracy,base_accuracy,wins_vs_base,regressions_vs_base,branch_rate,mean_branches_spawned,mean_selected_requests,mean_total_branch_requests
trigger=premature_stop_guard|budget=2|judge=highest_mlp_confidence,all_base_runs,245,218,0.889795918367347,0.8816326530612245,3,1,0.22040816326530613,0.44081632653061226,6.710204081632653,9.93469387755102
trigger=premature_stop_guard|budget=2|judge=highest_mlp_confidence,n13_frozen,49,45,0.9183673469387755,0.8775510204081632,2,0,0.24489795918367346,0.4897959183673469,6.877551020408164,10.857142857142858
trigger=premature_stop_guard|budget=2|judge=highest_mlp_confidence,n24_base,49,44,0.8979591836734694,0.9183673469387755,0,1,0.22448979591836735,0.4489795918367347,6.448979591836735,9.591836734693878
trigger=premature_stop_guard|budget=2|judge=highest_mlp_confidence,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.20408163265306123,0.40816326530612246,6.836734693877551,10.020408163265307
trigger=premature_stop_guard|budget=2|judge=highest_mlp_confidence,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.20408163265306123,0.40816326530612246,6.73469387755102,9.510204081632653
trigger=premature_stop_guard|budget=2|judge=highest_mlp_confidence,n25_r03,49,43,0.8775510204081632,0.8571428571428571,1,0,0.22448979591836735,0.4489795918367347,6.653061224489796,9.693877551020408
trigger=premature_stop_guard|budget=2|judge=highest_mlp_margin,all_base_runs,245,218,0.889795918367347,0.8816326530612245,3,1,0.22040816326530613,0.44081632653061226,6.6571428571428575,9.93469387755102
trigger=premature_stop_guard|budget=2|judge=highest_mlp_margin,n13_frozen,49,45,0.9183673469387755,0.8775510204081632,2,0,0.24489795918367346,0.4897959183673469,6.857142857142857,10.857142857142858
trigger=premature_stop_guard|budget=2|judge=highest_mlp_margin,n24_base,49,44,0.8979591836734694,0.9183673469387755,0,1,0.22448979591836735,0.4489795918367347,6.448979591836735,9.591836734693878
trigger=premature_stop_guard|budget=2|judge=highest_mlp_margin,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.20408163265306123,0.40816326530612246,6.816326530612245,10.020408163265307
trigger=premature_stop_guard|budget=2|judge=highest_mlp_margin,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.20408163265306123,0.40816326530612246,6.530612244897959,9.510204081632653
trigger=premature_stop_guard|budget=2|judge=highest_mlp_margin,n25_r03,49,43,0.8775510204081632,0.8571428571428571,1,0,0.22448979591836735,0.4489795918367347,6.63265306122449,9.693877551020408
trigger=premature_stop_guard|budget=2|judge=majority_vote,all_base_runs,245,218,0.889795918367347,0.8816326530612245,2,0,0.22040816326530613,0.44081632653061226,6.759183673469388,9.93469387755102
trigger=premature_stop_guard|budget=2|judge=majority_vote,n13_frozen,49,45,0.9183673469387755,0.8775510204081632,2,0,0.24489795918367346,0.4897959183673469,6.755102040816326,10.857142857142858
trigger=premature_stop_guard|budget=2|judge=majority_vote,n24_base,49,45,0.9183673469387755,0.9183673469387755,0,0,0.22448979591836735,0.4489795918367347,6.204081632653061,9.591836734693878
trigger=premature_stop_guard|budget=2|judge=majority_vote,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.20408163265306123,0.40816326530612246,7.0,10.020408163265307
trigger=premature_stop_guard|budget=2|judge=majority_vote,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.20408163265306123,0.40816326530612246,7.020408163265306,9.510204081632653
trigger=premature_stop_guard|budget=2|judge=majority_vote,n25_r03,49,42,0.8571428571428571,0.8571428571428571,0,0,0.22448979591836735,0.4489795918367347,6.816326530612245,9.693877551020408
trigger=premature_stop_guard|budget=4|judge=base_reference,all_base_runs,245,216,0.8816326530612245,0.8816326530612245,0,0,0.22040816326530613,0.8816326530612245,6.726530612244898,13.8
trigger=premature_stop_guard|budget=4|judge=base_reference,n13_frozen,49,43,0.8775510204081632,0.8775510204081632,0,0,0.24489795918367346,0.9795918367346939,6.591836734693878,15.653061224489797
trigger=premature_stop_guard|budget=4|judge=base_reference,n24_base,49,45,0.9183673469387755,0.9183673469387755,0,0,0.22448979591836735,0.8979591836734694,6.204081632653061,12.979591836734693
trigger=premature_stop_guard|budget=4|judge=base_reference,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.20408163265306123,0.8163265306122449,7.0,13.755102040816327
trigger=premature_stop_guard|budget=4|judge=base_reference,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.20408163265306123,0.8163265306122449,7.020408163265306,12.918367346938776
trigger=premature_stop_guard|budget=4|judge=base_reference,n25_r03,49,42,0.8571428571428571,0.8571428571428571,0,0,0.22448979591836735,0.8979591836734694,6.816326530612245,13.693877551020408
trigger=premature_stop_guard|budget=4|judge=cautious_fused_judge,all_base_runs,245,218,0.889795918367347,0.8816326530612245,3,1,0.22040816326530613,0.8816326530612245,6.538775510204082,13.8
trigger=premature_stop_guard|budget=4|judge=cautious_fused_judge,n13_frozen,49,45,0.9183673469387755,0.8775510204081632,2,0,0.24489795918367346,0.9795918367346939,6.73469387755102,15.653061224489797
trigger=premature_stop_guard|budget=4|judge=cautious_fused_judge,n24_base,49,44,0.8979591836734694,0.9183673469387755,0,1,0.22448979591836735,0.8979591836734694,6.204081632653061,12.979591836734693
trigger=premature_stop_guard|budget=4|judge=cautious_fused_judge,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.20408163265306123,0.8163265306122449,6.775510204081633,13.755102040816327
trigger=premature_stop_guard|budget=4|judge=cautious_fused_judge,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.20408163265306123,0.8163265306122449,6.448979591836735,12.918367346938776
trigger=premature_stop_guard|budget=4|judge=cautious_fused_judge,n25_r03,49,43,0.8775510204081632,0.8571428571428571,1,0,0.22448979591836735,0.8979591836734694,6.530612244897959,13.693877551020408
trigger=premature_stop_guard|budget=4|judge=fused_consensus_judge,all_base_runs,245,218,0.889795918367347,0.8816326530612245,3,1,0.22040816326530613,0.8816326530612245,6.526530612244898,13.8
trigger=premature_stop_guard|budget=4|judge=fused_consensus_judge,n13_frozen,49,45,0.9183673469387755,0.8775510204081632,2,0,0.24489795918367346,0.9795918367346939,6.73469387755102,15.653061224489797
trigger=premature_stop_guard|budget=4|judge=fused_consensus_judge,n24_base,49,44,0.8979591836734694,0.9183673469387755,0,1,0.22448979591836735,0.8979591836734694,6.204081632653061,12.979591836734693
trigger=premature_stop_guard|budget=4|judge=fused_consensus_judge,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.20408163265306123,0.8163265306122449,6.714285714285714,13.755102040816327
trigger=premature_stop_guard|budget=4|judge=fused_consensus_judge,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.20408163265306123,0.8163265306122449,6.448979591836735,12.918367346938776
trigger=premature_stop_guard|budget=4|judge=fused_consensus_judge,n25_r03,49,43,0.8775510204081632,0.8571428571428571,1,0,0.22448979591836735,0.8979591836734694,6.530612244897959,13.693877551020408
trigger=premature_stop_guard|budget=4|judge=highest_bayes_posterior,all_base_runs,245,220,0.8979591836734694,0.8816326530612245,4,0,0.22040816326530613,0.8816326530612245,6.918367346938775,13.8
trigger=premature_stop_guard|budget=4|judge=highest_bayes_posterior,n13_frozen,49,46,0.9387755102040817,0.8775510204081632,3,0,0.24489795918367346,0.9795918367346939,7.183673469387755,15.653061224489797
trigger=premature_stop_guard|budget=4|judge=highest_bayes_posterior,n24_base,49,45,0.9183673469387755,0.9183673469387755,0,0,0.22448979591836735,0.8979591836734694,6.346938775510204,12.979591836734693
trigger=premature_stop_guard|budget=4|judge=highest_bayes_posterior,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.20408163265306123,0.8163265306122449,7.183673469387755,13.755102040816327
trigger=premature_stop_guard|budget=4|judge=highest_bayes_posterior,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.20408163265306123,0.8163265306122449,6.8979591836734695,12.918367346938776
trigger=premature_stop_guard|budget=4|judge=highest_bayes_posterior,n25_r03,49,43,0.8775510204081632,0.8571428571428571,1,0,0.22448979591836735,0.8979591836734694,6.979591836734694,13.693877551020408
trigger=premature_stop_guard|budget=4|judge=highest_graph_support,all_base_runs,245,218,0.889795918367347,0.8816326530612245,3,1,0.22040816326530613,0.8816326530612245,6.979591836734694,13.8
trigger=premature_stop_guard|budget=4|judge=highest_graph_support,n13_frozen,49,45,0.9183673469387755,0.8775510204081632,2,0,0.24489795918367346,0.9795918367346939,7.244897959183674,15.653061224489797
trigger=premature_stop_guard|budget=4|judge=highest_graph_support,n24_base,49,44,0.8979591836734694,0.9183673469387755,0,1,0.22448979591836735,0.8979591836734694,6.408163265306122,12.979591836734693
trigger=premature_stop_guard|budget=4|judge=highest_graph_support,n25_r01,49,44,0.8979591836734694,0.8979591836734694,0,0,0.20408163265306123,0.8163265306122449,7.183673469387755,13.755102040816327
trigger=premature_stop_guard|budget=4|judge=highest_graph_support,n25_r02,49,42,0.8571428571428571,0.8571428571428571,0,0,0.20408163265306123,0.8163265306122449,6.8979591836734695,12.918367346938776
trigger=premature_stop_guard|budget=4|judge=highest_graph_support,n25_r03,49,43,0.8775510204081632,0.8571428571428571,1,0,0.22448979591836735,0.8979591836734694,7.163265306122449,13.693877551020408
trigger=premature_stop_guard|budget=4|judge=highest_mlp_confidence,all_base_runs,245,218,0.889795918367347,0.8816326530612245,3,1,0.22040816326530613,0.8816326530612245,6.702040816326531,13.8
trigger=premature_stop_guard|budget=4|judge=highest_mlp_confidence,n13_frozen,49,45,0.9183673469387755,0.8775510204081632,2,0,0.24489795918367346,0.9795918367346939,6.8979591836734695,15.653061224489797
