base_run,trigger_name,branch_budget,oracle_accuracy,base_accuracy,oracle_wins_vs_base,oracle_missed_even_with_pool,branch_rate,mean_branches_spawned
n25_r03,never,0,0.8571428571428571,0.8571428571428571,0,7,0.0,0.0
n25_r03,never,1,0.8571428571428571,0.8571428571428571,0,7,0.0,0.0
n25_r03,disagreement_or_cap,1,0.8775510204081632,0.8571428571428571,1,6,0.10204081632653061,0.10204081632653061
n25_r03,premature_stop_guard,1,0.8571428571428571,0.8571428571428571,0,7,0.22448979591836735,0.22448979591836735
n25_r03,graph_bayes_conflict,1,0.8979591836734694,0.8571428571428571,2,5,0.061224489795918366,0.061224489795918366
n25_r03,strict_final_conflict,1,0.8979591836734694,0.8571428571428571,2,5,0.08163265306122448,0.08163265306122448
n25_r03,hybrid_suspicion_v1,1,0.8979591836734694,0.8571428571428571,2,5,0.22448979591836735,0.22448979591836735
n25_r03,broad_suspicion,1,0.8979591836734694,0.8571428571428571,2,5,0.2857142857142857,0.2857142857142857
n25_r03,never,2,0.8571428571428571,0.8571428571428571,0,7,0.0,0.0
n25_r03,disagreement_or_cap,2,0.8775510204081632,0.8571428571428571,1,6,0.10204081632653061,0.20408163265306123
n25_r03,premature_stop_guard,2,0.8775510204081632,0.8571428571428571,1,6,0.22448979591836735,0.4489795918367347
n25_r03,graph_bayes_conflict,2,0.8979591836734694,0.8571428571428571,2,5,0.061224489795918366,0.12244897959183673
n25_r03,strict_final_conflict,2,0.8979591836734694,0.8571428571428571,2,5,0.08163265306122448,0.16326530612244897
n25_r03,hybrid_suspicion_v1,2,0.9183673469387755,0.8571428571428571,3,4,0.22448979591836735,0.4489795918367347
n25_r03,broad_suspicion,2,0.9183673469387755,0.8571428571428571,3,4,0.2857142857142857,0.5714285714285714
n25_r03,never,4,0.8571428571428571,0.8571428571428571,0,7,0.0,0.0
n25_r03,disagreement_or_cap,4,0.8775510204081632,0.8571428571428571,1,6,0.10204081632653061,0.40816326530612246
n25_r03,premature_stop_guard,4,0.8775510204081632,0.8571428571428571,1,6,0.22448979591836735,0.8979591836734694
n25_r03,graph_bayes_conflict,4,0.8979591836734694,0.8571428571428571,2,5,0.061224489795918366,0.24489795918367346
